crop,season,rainfall,soil_type,land_size,estimated_water_need,risk_level
paddy,rabi,high,loamy,9.99,11188.8,High
vegetables,kharif,high,sandy,5.49,3162.24,Medium
vegetables,summer,low,loamy,1.07,770.4,Low
millets,kharif,moderate,black,2.39,1021.72,Low
paddy,kharif,moderate,clay,2.47,3112.2,Medium
paddy,rabi,high,clay,9.17,9243.36,High
vegetables,kharif,low,clay,5.1,3304.8,Medium
vegetables,summer,low,sandy,6.02,5201.28,Medium
groundnut,kharif,high,black,6.75,3334.5,Medium
sugarcane,summer,low,loamy,7.18,15508.8,High
sunflower,rabi,moderate,clay,0.94,423.0,Low
sugarcane,kharif,moderate,clay,5.27,8537.4,High
vegetables,summer,high,loamy,2.13,1022.4,Low
millets,rabi,low,sandy,1.69,1095.12,Low
cotton,summer,moderate,black,7.68,8755.2,High
vegetables,kharif,moderate,sandy,1.85,1332.0,Low
groundnut,rabi,high,loamy,6.51,3385.2,Medium
sugarcane,rabi,low,clay,8.7,16912.8,High
vegetables,kharif,low,sandy,9.24,7983.36,High
millets,kharif,moderate,clay,1.98,801.9,Low
cotton,kharif,high,sandy,1.16,1336.32,Low
soybean,rabi,low,clay,7.94,5145.12,Medium
sugarcane,kharif,high,clay,9.58,12415.68,High
wheat,summer,low,black,4.66,4781.16,Medium
millets,summer,low,black,0.77,395.01,Low
paddy,rabi,moderate,black,7.19,9562.7,High
sugarcane,summer,high,black,1.52,2079.36,Low
wheat,summer,high,sandy,7.81,6747.84,High
wheat,kharif,moderate,loamy,2.39,2151.0,Low
wheat,kharif,high,black,2.53,1730.52,Low
groundnut,rabi,high,sandy,3.57,2227.68,Low
wheat,summer,high,clay,6.46,4186.08,Medium
millets,kharif,moderate,black,4.8,2052.0,Low
cotton,kharif,high,loamy,2.34,2246.4,Low
maize,kharif,low,sandy,6.83,6884.64,High
wheat,kharif,high,black,7.92,5417.28,Medium
vegetables,rabi,moderate,black,8.47,4827.9,Medium
soybean,kharif,high,clay,7.83,3382.56,Medium
millets,summer,high,black,2.57,878.94,Low
millets,rabi,low,black,9.6,4924.8,Medium
paddy,rabi,moderate,loamy,6.09,8526.0,High
vegetables,rabi,low,sandy,9.8,8467.2,High
wheat,kharif,moderate,black,0.83,709.65,Low
sugarcane,kharif,high,loamy,10.0,14400.0,High
sunflower,rabi,high,clay,8.64,3110.4,Medium
sugarcane,rabi,low,sandy,1.25,3240.0,Medium
wheat,rabi,low,black,7.63,7828.38,High
vegetables,summer,high,clay,6.65,2872.8,Low
paddy,rabi,moderate,clay,8.98,11314.8,High
groundnut,rabi,high,sandy,6.15,3837.6,Medium
sugarcane,summer,moderate,sandy,1.54,3326.4,Medium
wheat,rabi,high,clay,1.29,835.92,Low
vegetables,rabi,moderate,sandy,4.99,3592.8,Medium
paddy,rabi,high,loamy,7.49,8388.8,High
millets,kharif,high,black,6.75,2308.5,Low
wheat,summer,low,black,8.28,8495.28,High
sunflower,rabi,low,loamy,6.89,4134.0,Medium
soybean,kharif,moderate,clay,5.56,3002.4,Medium
groundnut,kharif,low,loamy,3.43,2675.4,Low
sugarcane,rabi,low,loamy,8.6,18576.0,High
soybean,summer,low,black,4.17,2852.28,Low
sugarcane,rabi,moderate,clay,8.26,13381.2,High
wheat,summer,moderate,sandy,5.75,6210.0,High
groundnut,rabi,high,black,8.62,4258.28,Medium
groundnut,kharif,moderate,sandy,2.36,1840.8,Low
groundnut,rabi,high,clay,7.85,3673.8,Medium
sunflower,summer,low,loamy,4.1,2460.0,Low
soybean,kharif,high,black,2.38,1085.28,Low
soybean,rabi,high,clay,2.96,1278.72,Low
maize,summer,high,loamy,6.87,3847.2,Medium
groundnut,summer,high,clay,4.68,2190.24,Low
wheat,kharif,moderate,loamy,6.32,5688.0,Medium
paddy,summer,low,black,9.78,15608.88,High
cotton,summer,moderate,black,2.91,3317.4,Medium
vegetables,rabi,low,clay,3.35,2170.8,Low
sugarcane,summer,low,clay,5.23,10167.12,High
soybean,rabi,low,loamy,9.89,7120.8,High
millets,summer,low,loamy,3.21,1733.4,Low
maize,kharif,moderate,loamy,3.12,2184.0,Low
maize,summer,moderate,clay,4.14,2608.2,Low
sugarcane,summer,moderate,black,6.05,10345.5,High
groundnut,kharif,moderate,sandy,5.7,4446.0,Medium
soybean,kharif,low,sandy,5.29,4570.56,Medium
sugarcane,kharif,low,loamy,2.15,4644.0,Medium
sugarcane,kharif,moderate,black,4.31,7370.1,High
cotton,rabi,low,clay,3.39,4393.44,Medium
millets,rabi,low,clay,5.23,2541.78,Low
sunflower,kharif,low,loamy,8.7,5220.0,Medium
cotton,kharif,low,black,7.76,10615.68,High
vegetables,summer,moderate,loamy,8.21,4926.0,Medium
paddy,rabi,high,loamy,2.21,2475.2,Low
sugarcane,rabi,low,black,3.52,7223.04,High
maize,kharif,moderate,sandy,9.04,7593.6,High
vegetables,kharif,low,clay,7.08,4587.84,Medium
vegetables,kharif,low,clay,4.68,3032.64,Medium
groundnut,rabi,low,sandy,3.81,3566.16,Medium
soybean,summer,low,clay,5.03,3259.44,Medium
maize,rabi,high,loamy,5.07,2839.2,Low
cotton,summer,low,loamy,9.24,13305.6,High
groundnut,rabi,high,loamy,8.67,4508.4,Medium
maize,rabi,moderate,loamy,3.23,2261.0,Low
maize,kharif,high,loamy,2.93,1640.8,Low
soybean,rabi,low,loamy,1.3,936.0,Low
maize,rabi,high,black,4.02,2138.64,Low
wheat,rabi,moderate,loamy,8.5,7650.0,High
sugarcane,kharif,moderate,black,2.0,3420.0,Medium
sunflower,kharif,high,black,7.19,2732.2,Low
maize,summer,high,loamy,7.69,4306.4,Medium
groundnut,summer,moderate,clay,0.77,450.45,Low
millets,kharif,moderate,clay,7.95,3219.75,Medium
groundnut,kharif,high,clay,5.03,2354.04,Low
wheat,summer,low,black,6.31,6474.06,High
soybean,kharif,moderate,clay,6.05,3267.0,Medium
sunflower,rabi,moderate,loamy,2.94,1470.0,Low
millets,summer,low,clay,0.53,257.58,Low
sunflower,kharif,high,loamy,3.89,1556.0,Low
maize,kharif,moderate,sandy,1.01,848.4,Low
maize,kharif,high,black,3.5,1862.0,Low
sunflower,summer,high,clay,1.86,669.6,Low
sunflower,summer,moderate,black,2.46,1168.5,Low
sugarcane,summer,moderate,clay,4.78,7743.6,High
millets,kharif,moderate,clay,0.89,360.45,Low
millets,kharif,high,sandy,1.78,768.96,Low
paddy,kharif,moderate,sandy,1.72,2889.6,Low
soybean,summer,low,sandy,3.94,3404.16,Medium
maize,kharif,high,clay,6.82,3437.28,Medium
paddy,rabi,high,loamy,9.39,10516.8,High
soybean,kharif,low,loamy,5.21,3751.2,Medium
paddy,summer,high,clay,4.69,4727.52,Medium
soybean,summer,high,sandy,0.71,408.96,Low
maize,summer,high,clay,4.83,2434.32,Low
vegetables,rabi,moderate,black,3.65,2080.5,Low
paddy,summer,moderate,clay,4.28,5392.8,Medium
vegetables,summer,high,black,1.27,579.12,Low
sugarcane,rabi,moderate,clay,9.73,15762.6,High
soybean,summer,high,clay,2.13,920.16,Low
groundnut,rabi,low,black,2.19,1622.79,Low
sunflower,summer,moderate,loamy,8.0,4000.0,Medium
millets,rabi,moderate,black,3.38,1444.95,Low
wheat,kharif,low,loamy,9.76,10540.8,High
millets,summer,high,loamy,1.38,496.8,Low
vegetables,summer,high,clay,6.74,2911.68,Low
paddy,kharif,moderate,clay,2.59,3263.4,Medium
cotton,summer,high,sandy,6.58,7580.16,High
groundnut,rabi,low,black,1.99,1474.59,Low
soybean,kharif,high,loamy,2.8,1344.0,Low
soybean,rabi,high,loamy,6.55,3144.0,Medium
groundnut,rabi,moderate,black,3.3,2037.75,Low
millets,summer,moderate,black,1.55,662.62,Low
wheat,summer,high,loamy,2.23,1605.6,Low
maize,rabi,moderate,sandy,5.86,4922.4,Medium
wheat,summer,moderate,black,6.15,5258.25,Medium
maize,kharif,low,black,2.6,2074.8,Low
millets,rabi,moderate,sandy,8.72,4708.8,Medium
cotton,kharif,moderate,loamy,3.54,4248.0,Medium
maize,rabi,high,loamy,3.64,2038.4,Low
vegetables,rabi,moderate,black,6.4,3648.0,Medium
millets,rabi,low,black,5.64,2893.32,Low
sugarcane,kharif,moderate,sandy,2.02,4363.2,Medium
cotton,summer,high,clay,5.98,5166.72,Medium
cotton,rabi,moderate,black,9.34,10647.6,High
paddy,rabi,moderate,clay,6.54,8240.4,High
maize,kharif,high,black,6.93,3686.76,Medium
paddy,kharif,moderate,clay,4.09,5153.4,Medium
millets,kharif,moderate,black,1.08,461.7,Low
maize,kharif,moderate,black,8.09,5379.85,Medium
vegetables,kharif,high,clay,3.17,1369.44,Low
sunflower,rabi,low,clay,1.84,993.6,Low
sunflower,kharif,low,loamy,8.43,5058.0,Medium
sugarcane,summer,high,sandy,8.23,14221.44,High
sugarcane,kharif,low,sandy,1.29,3343.68,Medium
sugarcane,rabi,high,black,1.21,1655.28,Low
maize,kharif,high,black,4.76,2532.32,Low
sugarcane,summer,high,loamy,6.28,9043.2,High
groundnut,rabi,high,loamy,4.39,2282.8,Low
millets,kharif,moderate,loamy,8.78,3951.0,Medium
maize,summer,moderate,black,4.9,3258.5,Medium
groundnut,rabi,high,sandy,5.67,3538.08,Medium
cotton,rabi,high,clay,1.58,1365.12,Low
wheat,rabi,high,sandy,6.24,5391.36,Medium
groundnut,rabi,moderate,loamy,9.4,6110.0,High
groundnut,kharif,high,black,3.57,1763.58,Low
cotton,summer,moderate,clay,9.24,9979.2,High
wheat,rabi,moderate,clay,4.86,3936.6,Medium
millets,summer,moderate,loamy,3.4,1530.0,Low
cotton,kharif,high,loamy,4.27,4099.2,Medium
vegetables,summer,moderate,loamy,6.82,4092.0,Medium
soybean,rabi,moderate,black,2.26,1288.2,Low
wheat,kharif,high,sandy,6.82,5892.48,Medium
maize,rabi,low,black,0.96,766.08,Low
groundnut,kharif,moderate,black,8.67,5353.72,Medium
millets,kharif,high,sandy,1.64,708.48,Low
wheat,summer,low,black,5.06,5191.56,Medium
millets,rabi,low,black,7.07,3626.91,Medium
maize,rabi,low,clay,8.81,6660.36,High
sunflower,summer,high,black,0.92,349.6,Low
sugarcane,kharif,moderate,clay,7.06,11437.2,High
sunflower,summer,moderate,sandy,1.55,930.0,Low
sunflower,rabi,low,sandy,3.26,2347.2,Low
groundnut,rabi,high,sandy,8.49,5297.76,Medium
vegetables,rabi,low,clay,2.89,1872.72,Low
cotton,kharif,high,sandy,6.39,7361.28,High
cotton,rabi,high,sandy,3.88,4469.76,Medium
sugarcane,kharif,low,loamy,1.61,3477.6,Medium
maize,summer,low,sandy,5.21,5251.68,Medium
groundnut,rabi,moderate,loamy,4.24,2756.0,Low
vegetables,kharif,moderate,loamy,5.68,3408.0,Medium
maize,kharif,low,clay,1.64,1239.84,Low
soybean,kharif,high,loamy,5.55,2664.0,Low
cotton,rabi,high,sandy,6.58,7580.16,High
vegetables,kharif,moderate,sandy,4.43,3189.6,Medium
paddy,rabi,high,clay,4.06,4092.48,Medium
sunflower,summer,high,sandy,3.6,1728.0,Low
soybean,kharif,moderate,sandy,4.06,2923.2,Low
vegetables,summer,low,black,5.77,3946.68,Medium
wheat,rabi,moderate,black,1.78,1521.9,Low
vegetables,kharif,high,black,8.14,3711.84,Medium
paddy,rabi,low,black,0.51,813.96,Low
paddy,kharif,low,sandy,4.06,8184.96,High
millets,kharif,high,sandy,5.36,2315.52,Low
sunflower,summer,high,sandy,4.52,2169.6,Low
groundnut,summer,low,black,1.15,852.15,Low
soybean,summer,moderate,loamy,8.3,4980.0,Medium
groundnut,summer,moderate,black,7.53,4649.77,Medium
groundnut,kharif,moderate,clay,1.54,900.9,Low
maize,rabi,moderate,clay,0.68,428.4,Low
millets,kharif,high,black,6.14,2099.88,Low
cotton,summer,low,sandy,7.66,13236.48,High
soybean,summer,low,clay,8.35,5410.8,Medium
soybean,kharif,high,loamy,9.49,4555.2,Medium
vegetables,rabi,moderate,black,6.31,3596.7,Medium
vegetables,kharif,low,clay,3.57,2313.36,Low
groundnut,rabi,high,loamy,9.93,5163.6,Medium
groundnut,summer,high,loamy,3.13,1627.6,Low
millets,summer,high,black,1.47,502.74,Low
soybean,summer,high,sandy,2.17,1249.92,Low
cotton,summer,low,sandy,4.16,7188.48,High
cotton,kharif,moderate,sandy,6.09,8769.6,High
millets,summer,moderate,loamy,0.69,310.5,Low
soybean,kharif,low,clay,4.04,2617.92,Low
soybean,kharif,moderate,black,2.46,1402.2,Low
sunflower,summer,low,clay,7.81,4217.4,Medium
millets,rabi,moderate,sandy,1.66,896.4,Low
wheat,kharif,low,clay,7.27,7066.44,High
cotton,summer,high,sandy,0.73,840.96,Low
cotton,summer,low,black,3.77,5157.36,Medium
sugarcane,summer,moderate,black,1.38,2359.8,Low
groundnut,summer,moderate,black,5.94,3667.95,Medium
sunflower,summer,high,clay,7.27,2617.2,Low
sunflower,rabi,high,loamy,4.44,1776.0,Low
maize,summer,moderate,clay,8.55,5386.5,Medium
wheat,rabi,low,loamy,5.53,5972.4,Medium
sugarcane,rabi,moderate,black,9.27,15851.7,High
millets,rabi,high,clay,7.95,2575.8,Low
groundnut,kharif,moderate,black,1.7,1049.75,Low
maize,rabi,high,black,4.49,2388.68,Low
wheat,kharif,low,clay,3.69,3586.68,Medium
wheat,rabi,moderate,sandy,4.07,4395.6,Medium
cotton,summer,high,loamy,7.31,7017.6,High
wheat,summer,moderate,black,0.94,803.7,Low
wheat,kharif,low,black,8.08,8290.08,High
vegetables,kharif,moderate,clay,1.09,588.6,Low
vegetables,summer,moderate,black,2.23,1271.1,Low
groundnut,kharif,moderate,black,9.17,5662.47,Medium
millets,rabi,high,loamy,9.35,3366.0,Medium
paddy,kharif,high,loamy,8.52,9542.4,High
soybean,summer,moderate,loamy,7.18,4308.0,Medium
maize,rabi,moderate,black,7.51,4994.15,Medium
cotton,summer,moderate,clay,1.58,1706.4,Low
groundnut,kharif,high,clay,9.3,4352.4,Medium
wheat,kharif,moderate,clay,5.0,4050.0,Medium
millets,summer,high,black,5.25,1795.5,Low
maize,summer,low,black,4.02,3207.96,Medium
vegetables,summer,low,loamy,9.09,6544.8,High
millets,rabi,low,black,7.91,4057.83,Medium
millets,kharif,low,loamy,5.69,3072.6,Medium
vegetables,kharif,high,sandy,2.75,1584.0,Low
wheat,kharif,low,loamy,9.11,9838.8,High
soybean,summer,high,sandy,7.59,4371.84,Medium
paddy,rabi,moderate,black,9.71,12914.3,High
groundnut,rabi,low,clay,9.79,6872.58,High
maize,rabi,moderate,loamy,6.45,4515.0,Medium
sunflower,kharif,moderate,clay,5.91,2659.5,Low
vegetables,summer,low,clay,0.92,596.16,Low
soybean,summer,moderate,clay,5.1,2754.0,Low
vegetables,summer,high,black,3.02,1377.12,Low
paddy,summer,low,black,3.06,4883.76,Medium
wheat,rabi,high,loamy,8.99,6472.8,High
sugarcane,kharif,high,black,5.58,7633.44,High
maize,kharif,moderate,clay,6.59,4151.7,Medium
soybean,kharif,low,loamy,4.14,2980.8,Low
sugarcane,summer,moderate,black,7.92,13543.2,High
cotton,kharif,low,black,3.31,4528.08,Medium
groundnut,kharif,high,black,9.89,4885.66,Medium
cotton,summer,high,black,7.66,6985.92,High
sunflower,summer,moderate,black,2.22,1054.5,Low
wheat,summer,moderate,sandy,3.93,4244.4,Medium
cotton,kharif,high,black,4.52,4122.24,Medium
maize,summer,moderate,loamy,1.29,903.0,Low
sugarcane,kharif,low,clay,5.28,10264.32,High
paddy,kharif,moderate,sandy,5.09,8551.2,High
wheat,kharif,moderate,black,4.66,3984.3,Medium
groundnut,kharif,low,black,9.4,6965.4,High
maize,kharif,low,loamy,6.21,5216.4,Medium
maize,summer,high,black,7.24,3851.68,Medium
sugarcane,rabi,moderate,loamy,9.71,17478.0,High
sunflower,summer,moderate,clay,3.94,1773.0,Low
paddy,summer,low,clay,5.14,7771.68,High
cotton,rabi,low,sandy,5.16,8916.48,High
soybean,kharif,high,sandy,4.22,2430.72,Low
wheat,kharif,low,sandy,6.26,8112.96,High
sugarcane,kharif,low,clay,0.57,1108.08,Low
vegetables,kharif,low,black,9.78,6689.52,High
cotton,summer,moderate,black,9.78,11149.2,High
sugarcane,rabi,low,black,8.17,16764.84,High
sunflower,rabi,moderate,sandy,1.85,1110.0,Low
groundnut,summer,low,clay,4.12,2892.24,Low
sugarcane,rabi,low,clay,7.45,14482.8,High
soybean,rabi,low,black,3.95,2701.8,Low
millets,summer,high,black,6.74,2305.08,Low
cotton,kharif,moderate,clay,6.73,7268.4,High
sugarcane,kharif,high,sandy,9.44,16312.32,High
sugarcane,kharif,moderate,sandy,4.1,8856.0,High
paddy,summer,moderate,sandy,5.22,8769.6,High
maize,rabi,high,loamy,1.57,879.2,Low
sugarcane,kharif,moderate,sandy,4.61,9957.6,High
vegetables,rabi,low,clay,6.82,4419.36,Medium
maize,summer,low,sandy,6.39,6441.12,High
maize,kharif,moderate,black,5.62,3737.3,Medium
wheat,rabi,low,sandy,5.39,6985.44,High
sugarcane,rabi,high,sandy,2.56,4423.68,Medium
wheat,rabi,high,clay,8.03,5203.44,Medium
paddy,kharif,high,clay,8.7,8769.6,High
soybean,rabi,moderate,black,3.63,2069.1,Low
sugarcane,rabi,low,loamy,8.25,17820.0,High
wheat,kharif,high,loamy,7.94,5716.8,Medium
sugarcane,kharif,low,loamy,6.72,14515.2,High
cotton,summer,low,loamy,4.17,6004.8,High
maize,kharif,moderate,sandy,5.19,4359.6,Medium
sugarcane,rabi,low,loamy,5.77,12463.2,High
soybean,summer,moderate,black,6.53,3722.1,Medium
vegetables,summer,moderate,clay,7.18,3877.2,Medium
vegetables,kharif,low,loamy,5.72,4118.4,Medium
vegetables,kharif,high,loamy,4.66,2236.8,Low
groundnut,kharif,low,black,9.88,7321.08,High
sunflower,summer,moderate,clay,4.48,2016.0,Low
maize,kharif,low,black,8.67,6918.66,High
wheat,summer,moderate,loamy,2.49,2241.0,Low
groundnut,rabi,moderate,black,2.3,1420.25,Low
sugarcane,rabi,high,loamy,2.23,3211.2,Medium
wheat,kharif,low,loamy,4.08,4406.4,Medium
cotton,rabi,low,sandy,8.8,15206.4,High
sunflower,summer,high,clay,5.97,2149.2,Low
sugarcane,summer,high,black,4.7,6429.6,High
vegetables,kharif,high,sandy,0.53,305.28,Low
paddy,rabi,high,sandy,9.35,12566.4,High
soybean,kharif,moderate,black,7.1,4047.0,Medium
millets,summer,moderate,clay,4.51,1826.55,Low
soybean,summer,moderate,black,5.42,3089.4,Medium
sugarcane,kharif,high,black,3.19,4363.92,Medium
soybean,summer,low,loamy,9.53,6861.6,High
wheat,summer,high,black,7.93,5424.12,Medium
wheat,rabi,low,clay,7.26,7056.72,High
sugarcane,kharif,moderate,clay,6.74,10918.8,High
sugarcane,summer,low,loamy,8.24,17798.4,High
soybean,rabi,low,loamy,0.59,424.8,Low
sunflower,summer,moderate,black,4.11,1952.25,Low
soybean,summer,high,black,1.22,556.32,Low
wheat,rabi,high,black,9.84,6730.56,High
millets,rabi,moderate,clay,7.68,3110.4,Medium
paddy,rabi,high,black,7.55,8033.2,High
sunflower,rabi,moderate,loamy,8.78,4390.0,Medium
cotton,summer,low,clay,2.6,3369.6,Medium
wheat,rabi,high,sandy,5.74,4959.36,Medium
maize,kharif,low,clay,4.13,3122.28,Medium
groundnut,kharif,moderate,black,3.01,1858.67,Low
groundnut,rabi,low,loamy,4.69,3658.2,Medium
sunflower,rabi,high,clay,5.73,2062.8,Low
sunflower,kharif,high,clay,3.17,1141.2,Low
wheat,rabi,low,clay,1.33,1292.76,Low
groundnut,kharif,low,sandy,9.6,8985.6,High
sugarcane,summer,low,sandy,6.92,17936.64,High
cotton,kharif,low,clay,1.8,2332.8,Low
paddy,summer,high,clay,2.75,2772.0,Low
maize,rabi,moderate,black,3.76,2500.4,Low
vegetables,summer,high,clay,3.51,1516.32,Low
millets,kharif,high,loamy,3.51,1263.6,Low
paddy,summer,low,sandy,3.61,7277.76,High
sunflower,summer,high,black,3.92,1489.6,Low
cotton,rabi,low,clay,0.51,660.96,Low
groundnut,kharif,moderate,loamy,8.5,5525.0,Medium
cotton,rabi,moderate,loamy,3.83,4596.0,Medium
cotton,kharif,high,loamy,5.14,4934.4,Medium
vegetables,kharif,low,black,6.08,4158.72,Medium
sugarcane,kharif,high,black,4.25,5814.0,Medium
cotton,kharif,moderate,black,3.93,4480.2,Medium
sunflower,summer,low,sandy,7.8,5616.0,Medium
millets,rabi,moderate,black,9.16,3915.9,Medium
sunflower,summer,low,black,1.14,649.8,Low
soybean,rabi,low,black,3.06,2093.04,Low
maize,rabi,moderate,black,0.8,532.0,Low
wheat,rabi,low,clay,5.83,5666.76,Medium
vegetables,summer,high,black,9.05,4126.8,Medium
wheat,summer,moderate,sandy,3.17,3423.6,Medium
cotton,rabi,moderate,sandy,4.71,6782.4,High
cotton,summer,low,loamy,3.39,4881.6,Medium
cotton,rabi,moderate,black,3.87,4411.8,Medium
millets,rabi,moderate,clay,9.14,3701.7,Medium
sunflower,kharif,low,loamy,1.29,774.0,Low
wheat,rabi,high,clay,0.87,563.76,Low
groundnut,kharif,low,sandy,9.04,8461.44,High
maize,summer,low,black,5.67,4524.66,Medium
sugarcane,kharif,moderate,clay,2.41,3904.2,Medium
sunflower,kharif,moderate,loamy,6.54,3270.0,Medium
groundnut,summer,low,sandy,3.98,3725.28,Medium
sunflower,kharif,high,loamy,7.39,2956.0,Low
cotton,summer,low,clay,7.31,9473.76,High
cotton,summer,low,black,6.39,8741.52,High
millets,rabi,low,sandy,2.63,1704.24,Low
groundnut,rabi,moderate,black,6.13,3785.27,Medium
wheat,rabi,low,sandy,9.36,12130.56,High
paddy,rabi,low,black,4.38,6990.48,High
maize,summer,moderate,sandy,9.67,8122.8,High
sunflower,rabi,high,loamy,6.83,2732.0,Low
millets,kharif,high,loamy,4.5,1620.0,Low
millets,kharif,low,sandy,3.86,2501.28,Low
vegetables,rabi,low,loamy,9.27,6674.4,High
millets,summer,low,clay,3.16,1535.76,Low
sugarcane,summer,high,black,6.82,9329.76,High
maize,rabi,high,clay,3.11,1567.44,Low
soybean,kharif,low,sandy,1.97,1702.08,Low
cotton,summer,low,clay,2.81,3641.76,Medium
paddy,rabi,high,loamy,8.22,9206.4,High
maize,kharif,moderate,clay,9.94,6262.2,High
vegetables,summer,high,clay,4.06,1753.92,Low
soybean,summer,high,sandy,8.6,4953.6,Medium
soybean,rabi,low,clay,7.79,5047.92,Medium
wheat,rabi,high,sandy,4.7,4060.8,Medium
millets,rabi,high,clay,9.27,3003.48,Medium
paddy,rabi,low,loamy,6.84,11491.2,High
millets,rabi,high,black,6.22,2127.24,Low
millets,summer,high,clay,2.26,732.24,Low
wheat,summer,moderate,sandy,1.18,1274.4,Low
paddy,kharif,low,loamy,6.63,11138.4,High
paddy,kharif,high,clay,5.73,5775.84,Medium
soybean,kharif,low,black,4.33,2961.72,Low
wheat,kharif,high,loamy,5.2,3744.0,Medium
sunflower,rabi,high,loamy,9.17,3668.0,Medium
vegetables,rabi,high,loamy,1.64,787.2,Low
maize,kharif,high,loamy,2.36,1321.6,Low
millets,kharif,high,loamy,3.97,1429.2,Low
sunflower,summer,high,clay,1.29,464.4,Low
millets,summer,high,black,7.4,2530.8,Low
sugarcane,summer,high,loamy,1.18,1699.2,Low
paddy,kharif,high,black,4.19,4458.16,Medium
paddy,summer,moderate,loamy,9.19,12866.0,High
vegetables,rabi,moderate,black,2.88,1641.6,Low
cotton,kharif,high,clay,3.72,3214.08,Medium
cotton,kharif,moderate,clay,1.92,2073.6,Low
groundnut,kharif,high,black,1.73,854.62,Low
paddy,summer,low,black,4.32,6894.72,High
groundnut,summer,moderate,loamy,2.53,1644.5,Low
cotton,kharif,moderate,clay,6.34,6847.2,High
millets,summer,low,black,8.64,4432.32,Medium
cotton,rabi,low,loamy,3.11,4478.4,Medium
paddy,rabi,low,loamy,6.06,10180.8,High
groundnut,rabi,moderate,clay,4.67,2731.95,Low
maize,rabi,high,clay,0.86,433.44,Low
wheat,rabi,high,clay,5.38,3486.24,Medium
groundnut,kharif,low,loamy,5.91,4609.8,Medium
soybean,kharif,moderate,black,4.31,2456.7,Low
millets,rabi,low,sandy,4.69,3039.12,Medium
wheat,rabi,moderate,clay,5.24,4244.4,Medium
millets,rabi,high,black,9.55,3266.1,Medium
vegetables,rabi,low,loamy,4.4,3168.0,Medium
millets,summer,moderate,sandy,1.76,950.4,Low
millets,kharif,low,black,6.13,3144.69,Medium
millets,rabi,moderate,loamy,8.75,3937.5,Medium
sugarcane,kharif,moderate,black,9.9,16929.0,High
groundnut,rabi,moderate,black,4.56,2815.8,Low
millets,rabi,moderate,sandy,9.14,4935.6,Medium
maize,kharif,moderate,black,0.83,551.95,Low
vegetables,summer,high,clay,9.95,4298.4,Medium
wheat,kharif,moderate,black,1.46,1248.3,Low
cotton,kharif,high,clay,4.1,3542.4,Medium
sunflower,summer,moderate,black,5.93,2816.75,Low
millets,kharif,high,sandy,8.47,3659.04,Medium
cotton,rabi,high,loamy,1.09,1046.4,Low
maize,kharif,high,loamy,9.51,5325.6,Medium
soybean,rabi,moderate,sandy,3.49,2512.8,Low
groundnut,rabi,moderate,sandy,5.16,4024.8,Medium
cotton,summer,low,black,3.82,5225.76,Medium
millets,summer,low,loamy,3.28,1771.2,Low
sugarcane,kharif,high,loamy,2.2,3168.0,Medium
millets,kharif,moderate,black,9.77,4176.68,Medium
millets,kharif,high,black,5.51,1884.42,Low
wheat,summer,high,clay,2.01,1302.48,Low
millets,rabi,high,clay,7.5,2430.0,Low
groundnut,rabi,low,sandy,8.74,8180.64,High
maize,summer,low,black,4.51,3598.98,Medium
sunflower,kharif,high,sandy,9.51,4564.8,Medium
vegetables,rabi,high,clay,7.23,3123.36,Medium
sugarcane,kharif,low,loamy,9.75,21060.0,High
cotton,summer,high,loamy,7.34,7046.4,High
cotton,summer,high,loamy,5.0,4800.0,Medium
groundnut,kharif,low,black,1.36,1007.76,Low
millets,kharif,moderate,clay,7.82,3167.1,Medium
millets,summer,moderate,sandy,6.0,3240.0,Medium
wheat,rabi,low,loamy,1.44,1555.2,Low
groundnut,rabi,high,black,5.46,2697.24,Low
paddy,rabi,moderate,clay,4.25,5355.0,Medium
millets,kharif,moderate,black,3.43,1466.32,Low
sunflower,rabi,low,loamy,6.26,3756.0,Medium
cotton,kharif,moderate,loamy,0.75,900.0,Low
groundnut,kharif,high,black,7.24,3576.56,Medium
soybean,summer,high,black,6.47,2950.32,Low
wheat,kharif,low,loamy,9.13,9860.4,High
groundnut,kharif,moderate,sandy,3.25,2535.0,Low
vegetables,kharif,high,sandy,3.04,1751.04,Low
cotton,summer,high,clay,4.09,3533.76,Medium
sugarcane,kharif,low,sandy,4.0,10368.0,High
cotton,kharif,low,black,6.44,8809.92,High
maize,rabi,high,black,7.51,3995.32,Medium
soybean,summer,moderate,sandy,8.97,6458.4,High
groundnut,kharif,moderate,clay,3.17,1854.45,Low
sugarcane,kharif,moderate,black,6.98,11935.8,High
cotton,summer,low,black,8.5,11628.0,High
sugarcane,kharif,high,black,6.85,9370.8,High
groundnut,kharif,low,clay,3.84,2695.68,Low
wheat,kharif,high,clay,8.36,5417.28,Medium
wheat,summer,high,black,1.85,1265.4,Low
groundnut,summer,low,sandy,8.47,7927.92,High
paddy,summer,low,sandy,9.42,18990.72,High
soybean,kharif,high,clay,5.99,2587.68,Low
groundnut,kharif,high,sandy,4.66,2907.84,Low
maize,rabi,high,loamy,9.9,5544.0,Medium
paddy,summer,low,black,2.95,4708.2,Medium
wheat,summer,low,black,7.92,8125.92,High
groundnut,rabi,low,sandy,3.59,3360.24,Medium
maize,summer,low,sandy,4.35,4384.8,Medium
cotton,summer,moderate,clay,8.32,8985.6,High
