water_source,area_type,tds,bacteria_level,turbidity,safety_status
borewell,semi-urban,148,79,1,Safe
tap,rural,765,57,12,Safe
pond,semi-urban,694,41,7,Unsafe
tanker,rural,135,44,19,Unsafe
tanker,semi-urban,256,94,12,Unsafe
river,urban,1422,22,9,Warning
well,rural,1112,81,19,Unsafe
river,semi-urban,606,95,17,Unsafe
river,urban,1031,24,12,Warning
river,rural,603,56,2,Warning
pond,rural,1212,51,2,Warning
pond,semi-urban,1441,88,8,Unsafe
borewell,urban,1317,38,14,Safe
pond,rural,215,100,19,Unsafe
well,urban,850,72,1,Warning
river,semi-urban,320,58,14,Unsafe
tap,semi-urban,123,31,10,Safe
well,rural,889,86,18,Unsafe
tap,semi-urban,688,20,16,Safe
borewell,semi-urban,1026,88,12,Warning
well,semi-urban,116,37,10,Warning
borewell,semi-urban,541,43,10,Safe
borewell,semi-urban,1485,79,14,Warning
tanker,rural,388,32,10,Warning
well,urban,133,99,1,Warning
tanker,urban,1304,70,7,Unsafe
tap,urban,427,43,5,Safe
well,semi-urban,259,94,9,Unsafe
tap,semi-urban,1349,4,8,Safe
tap,rural,1436,16,17,Safe
tanker,urban,1229,38,7,Warning
tanker,semi-urban,1500,70,19,Unsafe
tanker,rural,876,64,11,Unsafe
river,rural,353,29,6,Warning
pond,semi-urban,601,9,3,Warning
borewell,rural,813,1,15,Safe
well,urban,1209,98,7,Warning
tap,rural,337,46,9,Safe
pond,semi-urban,766,24,9,Warning
tap,urban,1422,54,16,Safe
borewell,semi-urban,245,62,8,Safe
river,rural,389,72,13,Unsafe
well,urban,1280,7,20,Warning
tanker,urban,355,57,15,Unsafe
tap,rural,367,46,5,Safe
tanker,semi-urban,1221,13,11,Warning
pond,urban,1339,61,17,Unsafe
borewell,rural,417,92,13,Warning
borewell,rural,1295,70,11,Warning
tanker,semi-urban,515,2,10,Warning
well,urban,1357,14,4,Warning
pond,semi-urban,1334,41,17,Unsafe
pond,semi-urban,884,20,11,Warning
tap,urban,778,69,17,Warning
borewell,rural,979,17,2,Safe
well,rural,1351,39,3,Warning
river,urban,155,96,12,Unsafe
tap,semi-urban,1217,41,16,Safe
tap,semi-urban,490,24,14,Safe
well,semi-urban,911,97,1,Warning
tap,urban,196,17,6,Safe
borewell,rural,769,18,20,Safe
river,urban,1000,4,1,Warning
tanker,rural,148,69,2,Warning
well,rural,902,40,18,Warning
borewell,urban,308,6,3,Safe
well,rural,246,38,15,Warning
tanker,urban,1491,31,6,Warning
river,rural,1382,78,7,Unsafe
pond,rural,604,19,15,Unsafe
river,urban,956,59,5,Unsafe
tap,urban,712,36,17,Safe
borewell,urban,832,61,9,Safe
pond,urban,271,21,19,Unsafe
pond,urban,711,4,6,Warning
well,semi-urban,528,82,6,Warning
river,urban,345,44,10,Unsafe
well,semi-urban,1393,87,9,Warning
tanker,semi-urban,1168,75,2,Warning
tap,rural,720,58,10,Safe
well,urban,760,18,11,Warning
tap,semi-urban,500,78,15,Warning
tap,semi-urban,1103,78,4,Safe
river,urban,552,6,6,Warning
tap,rural,453,28,5,Safe
well,rural,965,74,20,Unsafe
tap,semi-urban,1430,84,9,Warning
tap,semi-urban,721,30,10,Safe
tap,urban,1313,75,7,Safe
tanker,rural,581,77,9,Unsafe
tap,urban,912,28,9,Safe
borewell,urban,1497,54,15,Safe
well,rural,271,78,17,Unsafe
tap,urban,1427,13,9,Safe
river,semi-urban,1071,99,10,Unsafe
river,urban,1290,7,15,Warning
tap,urban,312,30,2,Safe
well,semi-urban,1474,28,7,Warning
tanker,rural,359,67,13,Unsafe
well,semi-urban,238,77,3,Warning
borewell,urban,1121,7,4,Safe
tanker,semi-urban,149,96,15,Unsafe
pond,rural,769,21,7,Warning
tanker,rural,1108,88,9,Unsafe
tap,rural,938,18,15,Safe
pond,urban,691,9,4,Warning
pond,rural,1319,42,14,Unsafe
tanker,urban,365,18,20,Warning
tanker,urban,1088,20,13,Warning
borewell,semi-urban,1428,9,9,Safe
tanker,semi-urban,887,97,8,Unsafe
tanker,semi-urban,1433,24,1,Warning
borewell,urban,1457,36,20,Safe
tap,urban,1199,68,6,Safe
river,rural,1187,14,2,Warning
pond,urban,876,76,12,Unsafe
borewell,semi-urban,1412,69,5,Safe
tap,semi-urban,1273,98,14,Warning
borewell,rural,888,81,11,Warning
river,rural,204,43,6,Warning
tap,rural,209,64,7,Safe
pond,urban,446,73,15,Unsafe
tap,semi-urban,1089,54,19,Warning
pond,urban,1380,68,11,Unsafe
river,urban,1214,47,5,Warning
river,urban,1156,17,12,Warning
tanker,rural,628,21,2,Warning
river,urban,562,7,13,Warning
well,rural,792,25,12,Warning
river,semi-urban,630,54,10,Unsafe
borewell,semi-urban,1232,50,10,Safe
tanker,rural,1340,10,13,Warning
pond,rural,774,23,13,Unsafe
borewell,urban,697,80,10,Warning
tap,urban,1433,57,18,Warning
tap,rural,977,21,3,Safe
pond,rural,583,67,16,Unsafe
pond,rural,1043,83,19,Unsafe
well,semi-urban,904,63,11,Warning
tap,urban,212,52,8,Safe
borewell,urban,885,54,7,Safe
borewell,rural,477,66,4,Safe
borewell,rural,801,32,18,Safe
well,rural,1219,85,14,Unsafe
river,urban,306,21,20,Unsafe
borewell,rural,766,60,13,Safe
tanker,semi-urban,730,75,3,Warning
tanker,semi-urban,337,97,9,Unsafe
tap,urban,552,19,11,Safe
pond,urban,999,28,12,Unsafe
river,urban,1066,63,16,Unsafe
tap,urban,1256,81,15,Warning
borewell,rural,553,8,5,Safe
tap,semi-urban,1457,55,12,Safe
borewell,semi-urban,714,21,10,Safe
borewell,semi-urban,696,40,15,Safe
borewell,semi-urban,1260,47,11,Safe
river,urban,954,97,19,Unsafe
borewell,semi-urban,896,72,18,Warning
tanker,rural,215,26,8,Warning
well,rural,397,58,1,Warning
tanker,semi-urban,111,95,11,Unsafe
pond,urban,121,26,5,Warning
borewell,rural,1020,9,8,Safe
river,rural,136,50,5,Warning
tanker,urban,1327,69,17,Unsafe
tap,semi-urban,297,92,19,Warning
tap,semi-urban,1349,86,1,Safe
borewell,urban,433,0,18,Safe
well,urban,139,44,14,Warning
pond,semi-urban,948,12,16,Warning
borewell,semi-urban,391,58,13,Safe
tap,semi-urban,461,83,2,Safe
well,semi-urban,1170,76,10,Warning
river,urban,174,21,14,Warning
tanker,urban,326,34,5,Warning
tap,urban,1191,21,4,Safe
tanker,semi-urban,600,77,10,Unsafe
pond,rural,488,18,16,Unsafe
tap,semi-urban,201,52,6,Safe
well,rural,873,23,6,Warning
pond,urban,429,20,19,Unsafe
borewell,rural,1131,39,9,Safe
pond,rural,728,93,4,Unsafe
borewell,rural,1278,66,17,Warning
well,rural,449,5,10,Warning
tap,urban,287,58,13,Safe
pond,semi-urban,938,9,8,Warning
borewell,semi-urban,1019,88,5,Warning
borewell,rural,379,24,20,Safe
tap,rural,773,9,1,Safe
tap,urban,104,73,19,Warning
tanker,rural,1211,100,13,Unsafe
borewell,semi-urban,1020,67,6,Safe
well,urban,710,2,19,Warning
river,urban,847,89,10,Unsafe
well,semi-urban,495,86,18,Unsafe
tap,urban,924,30,6,Safe
well,semi-urban,1491,6,14,Warning
well,semi-urban,256,96,7,Warning
tap,rural,1367,24,18,Safe
tap,semi-urban,158,19,8,Safe
pond,semi-urban,1241,24,11,Warning
river,rural,714,4,18,Warning
well,urban,116,43,3,Warning
tanker,urban,1475,74,8,Unsafe
well,rural,1111,19,15,Warning
pond,rural,979,7,8,Warning
borewell,semi-urban,1058,85,7,Warning
tanker,rural,1205,30,3,Warning
well,rural,198,8,19,Warning
tap,rural,1043,8,12,Safe
river,urban,1369,45,12,Unsafe
tanker,urban,746,0,4,Warning
well,urban,546,1,16,Warning
tap,rural,1499,52,9,Safe
tap,semi-urban,1191,32,5,Safe
well,urban,417,10,4,Warning
pond,rural,1437,26,15,Unsafe
river,urban,243,87,15,Unsafe
pond,semi-urban,791,15,16,Unsafe
tap,semi-urban,922,76,20,Warning
tanker,urban,962,49,11,Warning
pond,urban,1459,22,10,Warning
pond,rural,192,75,16,Unsafe
river,rural,546,36,8,Warning
borewell,rural,166,79,1,Safe
tanker,urban,639,1,12,Warning
tanker,rural,341,74,7,Unsafe
river,urban,947,81,10,Unsafe
borewell,urban,1419,60,8,Safe
pond,semi-urban,144,61,13,Unsafe
tap,rural,365,4,4,Safe
tanker,rural,124,86,7,Unsafe
river,semi-urban,958,88,12,Unsafe
well,urban,168,41,10,Warning
tanker,rural,1272,72,19,Unsafe
well,rural,1094,27,9,Warning
borewell,semi-urban,1433,12,11,Safe
borewell,semi-urban,690,71,11,Warning
tanker,urban,1200,80,20,Unsafe
tanker,semi-urban,349,12,12,Warning
pond,rural,861,5,15,Warning
pond,semi-urban,221,61,12,Unsafe
river,rural,877,98,7,Unsafe
well,urban,1206,98,6,Warning
well,urban,1125,87,15,Unsafe
tanker,semi-urban,1155,82,8,Unsafe
pond,semi-urban,1460,87,8,Unsafe
well,urban,234,71,18,Unsafe
borewell,rural,1203,43,4,Safe
tap,rural,118,54,6,Safe
tap,urban,986,61,7,Safe
pond,semi-urban,987,99,7,Unsafe
river,rural,875,70,2,Unsafe
river,rural,928,23,8,Warning
river,urban,135,88,1,Unsafe
well,rural,1262,83,15,Unsafe
well,semi-urban,1261,7,14,Warning
tap,rural,853,45,15,Safe
borewell,urban,1230,23,8,Safe
tap,semi-urban,1132,9,15,Safe
tanker,semi-urban,414,75,12,Unsafe
pond,rural,1049,81,9,Unsafe
well,rural,442,44,9,Warning
well,rural,1185,64,18,Warning
borewell,rural,308,1,19,Safe
tap,rural,270,95,2,Safe
well,rural,1132,100,15,Unsafe
river,semi-urban,1432,87,6,Unsafe
tanker,urban,1055,91,13,Unsafe
river,semi-urban,219,90,3,Unsafe
well,urban,1437,6,8,Warning
well,semi-urban,1107,65,13,Warning
river,semi-urban,631,58,19,Unsafe
well,urban,1204,99,14,Unsafe
tanker,semi-urban,1487,12,9,Warning
pond,semi-urban,461,59,14,Unsafe
tanker,rural,918,55,1,Warning
river,rural,892,100,2,Unsafe
borewell,urban,619,19,5,Safe
tap,rural,334,67,15,Warning
river,rural,707,84,2,Unsafe
river,semi-urban,595,61,4,Unsafe
tanker,semi-urban,641,94,17,Unsafe
river,semi-urban,716,40,13,Unsafe
tanker,urban,120,88,6,Unsafe
tanker,urban,904,35,3,Warning
borewell,semi-urban,507,78,4,Safe
borewell,urban,1338,9,2,Safe
well,rural,241,89,16,Unsafe
tanker,semi-urban,1143,45,7,Warning
tap,semi-urban,656,8,19,Safe
river,urban,1109,45,1,Warning
tanker,semi-urban,1350,36,5,Warning
tap,urban,433,42,19,Safe
tanker,rural,881,56,20,Unsafe
river,semi-urban,1007,100,10,Unsafe
tanker,rural,581,73,3,Warning
borewell,rural,551,28,11,Safe
pond,rural,1223,89,5,Unsafe
tanker,rural,842,12,8,Warning
river,urban,1446,45,12,Unsafe
well,urban,1249,97,18,Unsafe
well,rural,1164,90,20,Unsafe
river,urban,1275,33,4,Warning
tap,rural,655,30,3,Safe
tap,urban,1287,100,14,Warning
borewell,urban,294,40,20,Safe
pond,urban,1401,94,9,Unsafe
tanker,urban,628,60,7,Warning
tap,semi-urban,1298,89,3,Safe
tap,rural,743,90,16,Warning
well,rural,1435,10,9,Warning
well,urban,255,7,8,Warning
tap,rural,1482,9,8,Safe
tap,rural,1254,37,3,Safe
tanker,semi-urban,1176,37,7,Warning
tap,rural,1345,91,17,Warning
borewell,semi-urban,701,16,12,Safe
tap,urban,1413,94,16,Warning
river,urban,539,50,8,Unsafe
river,urban,990,14,10,Warning
well,semi-urban,455,92,17,Unsafe
tap,semi-urban,935,19,16,Safe
river,semi-urban,906,75,18,Unsafe
well,urban,891,71,13,Warning
borewell,semi-urban,201,7,20,Safe
tanker,rural,1156,64,15,Unsafe
tap,rural,595,43,20,Safe
well,semi-urban,650,37,6,Warning
borewell,rural,1319,73,13,Warning
tap,semi-urban,771,44,1,Safe
river,rural,1031,62,10,Unsafe
river,rural,505,7,13,Warning
river,urban,653,77,13,Unsafe
tanker,urban,1256,27,15,Warning
pond,rural,984,30,15,Unsafe
tanker,rural,1421,46,3,Warning
borewell,urban,1163,36,11,Safe
tap,urban,122,63,12,Safe
tap,semi-urban,1095,8,1,Safe
pond,semi-urban,1010,79,9,Unsafe
pond,rural,976,77,13,Unsafe
tap,semi-urban,483,9,10,Safe
river,rural,1071,35,16,Unsafe
pond,semi-urban,1391,53,6,Unsafe
pond,rural,1462,63,17,Unsafe
pond,urban,555,99,5,Unsafe
borewell,urban,676,24,7,Safe
borewell,semi-urban,1480,7,11,Safe
well,rural,440,53,8,Warning
well,rural,1341,32,13,Warning
borewell,semi-urban,617,64,15,Warning
well,rural,1189,30,9,Warning
tap,urban,1123,0,16,Safe
tap,semi-urban,617,84,16,Warning
river,rural,1017,41,1,Warning
tap,rural,736,4,12,Safe
pond,semi-urban,446,11,7,Warning
river,semi-urban,929,90,16,Unsafe
pond,urban,1416,18,4,Warning
well,urban,394,97,13,Unsafe
tap,urban,253,12,16,Safe
tap,urban,532,42,2,Safe
tanker,semi-urban,310,31,16,Warning
tanker,rural,1268,14,9,Warning
well,semi-urban,842,19,3,Warning
river,rural,130,6,2,Warning
river,semi-urban,630,21,7,Warning
pond,urban,389,34,7,Warning
river,urban,963,100,15,Unsafe
river,rural,479,23,8,Warning
borewell,urban,960,36,7,Safe
well,rural,705,18,7,Warning
tap,rural,648,98,2,Safe
borewell,rural,820,97,16,Warning
river,rural,1019,5,19,Warning
well,urban,320,49,12,Warning
borewell,urban,1390,66,3,Safe
pond,urban,116,20,14,Unsafe
borewell,rural,665,51,4,Safe
tap,urban,291,5,13,Safe
tanker,semi-urban,1427,27,1,Warning
well,semi-urban,589,84,1,Warning
well,urban,1108,22,2,Warning
tanker,semi-urban,632,88,14,Unsafe
tap,urban,343,65,3,Safe
river,urban,1217,27,10,Warning
well,semi-urban,1276,50,13,Warning
river,urban,1037,29,16,Unsafe
pond,urban,415,11,9,Warning
tanker,urban,1227,52,8,Warning
river,rural,512,56,12,Unsafe
river,urban,803,47,7,Warning
river,urban,1036,13,3,Warning
pond,semi-urban,1218,87,17,Unsafe
tap,rural,1334,26,5,Safe
well,urban,1113,10,12,Warning
well,urban,587,15,15,Warning
well,semi-urban,793,37,18,Warning
tanker,urban,515,21,8,Warning
well,urban,539,4,4,Safe
tanker,semi-urban,283,54,4,Warning
borewell,semi-urban,350,71,2,Safe
tap,urban,688,100,16,Warning
well,urban,790,63,13,Warning
tanker,urban,810,96,17,Unsafe
tanker,semi-urban,492,49,17,Unsafe
well,semi-urban,1187,41,13,Warning
well,rural,828,7,18,Warning
well,urban,156,5,2,Safe
tanker,rural,808,0,11,Warning
tanker,rural,456,3,13,Warning
borewell,rural,1239,66,8,Safe
tanker,semi-urban,1481,0,9,Warning
tap,semi-urban,409,71,9,Safe
pond,urban,1193,29,15,Unsafe
tap,urban,621,36,11,Safe
river,urban,1388,57,5,Unsafe
river,semi-urban,943,62,13,Unsafe
tap,semi-urban,1264,36,7,Safe
tap,rural,676,40,15,Safe
tanker,semi-urban,390,78,12,Unsafe
borewell,urban,630,83,12,Warning
well,urban,713,99,9,Unsafe
well,rural,579,51,11,Warning
pond,semi-urban,395,58,18,Unsafe
river,semi-urban,202,73,11,Unsafe
river,urban,1179,72,4,Unsafe
tanker,urban,430,44,8,Warning
tap,urban,1311,63,19,Warning
borewell,semi-urban,728,99,10,Warning
river,urban,714,58,8,Unsafe
borewell,urban,790,24,3,Safe
well,rural,580,41,4,Warning
river,semi-urban,344,91,4,Unsafe
tanker,urban,579,35,20,Unsafe
river,semi-urban,1393,82,20,Unsafe
borewell,rural,904,42,11,Safe
tap,urban,1457,79,20,Warning
borewell,rural,804,64,3,Safe
river,semi-urban,173,26,16,Unsafe
tanker,urban,878,18,19,Warning
pond,semi-urban,1046,36,12,Unsafe
tap,rural,1472,46,3,Safe
tap,semi-urban,742,44,13,Safe
river,rural,1456,5,5,Warning
pond,semi-urban,279,37,19,Unsafe
river,rural,775,51,17,Unsafe
pond,rural,1470,56,11,Unsafe
borewell,urban,495,61,9,Safe
tanker,semi-urban,726,49,16,Unsafe
well,urban,1148,26,17,Warning
well,semi-urban,770,10,12,Warning
river,rural,733,66,2,Unsafe
borewell,urban,602,36,18,Safe
tanker,semi-urban,1095,68,2,Warning
borewell,semi-urban,1310,84,16,Warning
well,semi-urban,478,74,1,Warning
river,semi-urban,399,34,18,Unsafe
tap,rural,407,48,15,Safe
tap,urban,1270,61,16,Safe
well,semi-urban,591,10,19,Warning
tap,semi-urban,114,66,20,Warning
well,rural,1373,13,18,Warning
well,semi-urban,1456,80,20,Unsafe
pond,urban,1246,34,16,Unsafe
tanker,urban,329,4,7,Warning
borewell,rural,352,71,3,Safe
pond,rural,992,37,13,Unsafe
pond,rural,1184,100,18,Unsafe
borewell,semi-urban,1450,26,15,Safe
well,rural,188,82,11,Warning
borewell,semi-urban,896,79,4,Safe
river,urban,1014,56,3,Warning
well,urban,1137,2,3,Safe
tap,urban,1038,93,2,Safe
tanker,urban,519,100,14,Unsafe
pond,urban,881,62,8,Unsafe
borewell,rural,227,11,9,Safe
well,semi-urban,413,85,18,Unsafe
tanker,semi-urban,892,50,15,Unsafe
pond,rural,915,27,14,Unsafe
pond,urban,588,27,17,Unsafe
well,urban,1479,43,2,Warning
river,semi-urban,1379,23,20,Unsafe
tanker,semi-urban,842,57,4,Warning
well,rural,747,16,17,Warning
river,urban,1347,12,10,Warning
borewell,rural,508,43,20,Warning
tanker,urban,1004,19,10,Warning
well,semi-urban,1437,61,3,Warning
borewell,rural,719,58,10,Safe
tap,semi-urban,852,31,13,Safe
well,semi-urban,1463,66,4,Warning
well,rural,813,72,14,Warning
tanker,urban,1308,71,11,Unsafe
well,rural,1193,8,8,Warning
river,semi-urban,485,77,1,Unsafe
well,semi-urban,116,60,2,Warning
tap,rural,801,73,11,Safe
borewell,rural,264,25,16,Safe
well,urban,847,34,10,Warning
pond,urban,560,50,6,Unsafe
tap,semi-urban,605,83,3,Safe
well,semi-urban,1152,52,2,Warning
borewell,rural,1477,55,11,Safe
borewell,urban,1027,88,3,Safe
well,urban,373,85,19,Unsafe
river,urban,518,28,3,Warning
river,urban,1117,60,4,Unsafe
borewell,rural,1073,61,3,Safe
river,rural,1017,70,16,Unsafe
pond,semi-urban,1192,87,8,Unsafe
well,semi-urban,1397,25,4,Warning
tanker,semi-urban,678,39,4,Warning
tap,urban,580,9,14,Safe
tanker,urban,1438,33,1,Warning
tap,semi-urban,1150,84,14,Warning
river,rural,1371,90,10,Unsafe
river,urban,334,39,11,Unsafe
tanker,urban,345,74,12,Unsafe
tanker,semi-urban,490,66,18,Unsafe
borewell,urban,151,77,12,Warning
river,urban,1158,5,4,Warning
pond,urban,1128,61,17,Unsafe
river,semi-urban,705,57,2,Warning
river,urban,538,40,9,Warning
river,urban,1148,2,16,Warning
pond,urban,280,34,15,Unsafe
tanker,urban,1449,30,4,Warning
borewell,urban,564,21,14,Safe
borewell,urban,209,58,19,Warning
river,rural,714,3,18,Warning
river,rural,487,47,8,Unsafe
river,semi-urban,1461,34,2,Warning
borewell,rural,1078,80,13,Warning
borewell,urban,905,25,4,Safe
pond,rural,1013,24,2,Warning
borewell,rural,528,57,3,Safe
borewell,urban,1270,79,16,Warning
pond,semi-urban,235,22,8,Warning
river,rural,485,30,12,Warning
river,rural,801,0,5,Warning
tap,urban,441,9,18,Safe
tanker,urban,312,32,20,Unsafe
tanker,urban,1036,34,7,Warning
well,rural,899,20,3,Warning
well,urban,608,11,11,Warning
river,semi-urban,1356,0,4,Warning
well,urban,591,38,9,Warning
tanker,urban,1239,57,19,Unsafe
borewell,rural,177,83,5,Safe
borewell,rural,155,33,3,Safe
borewell,rural,1338,6,8,Safe
pond,rural,991,16,4,Warning
river,rural,441,94,15,Unsafe
river,rural,359,90,16,Unsafe
river,urban,1054,34,9,Warning
river,rural,1280,9,7,Warning
borewell,urban,150,46,4,Safe
river,rural,1426,6,4,Warning
well,semi-urban,1498,22,12,Warning
river,semi-urban,571,60,4,Unsafe
river,urban,850,8,12,Warning
tanker,semi-urban,801,52,10,Warning
river,rural,708,95,20,Unsafe
pond,rural,1219,10,20,Unsafe
tap,semi-urban,720,57,15,Safe
borewell,rural,841,48,4,Safe
well,rural,744,28,5,Warning
tanker,semi-urban,1179,67,10,Unsafe
tap,urban,173,4,11,Safe
borewell,semi-urban,379,72,16,Warning
river,rural,1172,54,11,Unsafe
borewell,urban,623,33,19,Safe
well,rural,989,86,20,Unsafe
well,urban,1394,100,13,Unsafe
river,urban,452,2,3,Warning
tanker,semi-urban,112,67,3,Warning
tanker,semi-urban,875,80,19,Unsafe
tap,urban,113,71,12,Safe
borewell,urban,615,73,17,Warning
well,urban,376,95,1,Warning
pond,semi-urban,1015,80,17,Unsafe
well,semi-urban,515,13,16,Warning
borewell,rural,207,100,7,Warning
tanker,semi-urban,1161,67,13,Unsafe
borewell,semi-urban,826,76,8,Safe
river,urban,1337,42,15,Unsafe
river,semi-urban,895,7,6,Warning
tap,urban,618,100,14,Warning
river,urban,799,60,14,Unsafe
well,semi-urban,377,46,18,Warning
well,semi-urban,616,23,16,Warning
tanker,semi-urban,1493,80,7,Unsafe
river,semi-urban,975,75,3,Unsafe
tap,semi-urban,717,55,13,Safe
tap,urban,1045,88,9,Warning
tap,urban,1430,48,10,Safe
tap,semi-urban,942,77,1,Safe
river,urban,1086,28,3,Warning
borewell,rural,1497,100,3,Warning
pond,rural,634,76,3,Unsafe
river,urban,739,19,4,Warning
well,semi-urban,1396,17,6,Warning
river,rural,833,74,7,Unsafe
pond,semi-urban,168,71,9,Unsafe
well,rural,1030,78,3,Warning
river,semi-urban,725,29,16,Unsafe
tanker,semi-urban,458,95,14,Unsafe
well,rural,553,15,18,Warning
river,urban,695,81,9,Unsafe
tap,urban,658,71,11,Safe
borewell,rural,1475,66,9,Safe
tap,semi-urban,1131,0,16,Safe
pond,rural,654,30,19,Unsafe
well,rural,835,93,13,Unsafe
tap,semi-urban,1457,67,17,Warning
river,urban,579,34,17,Unsafe
pond,rural,954,5,19,Unsafe
pond,rural,762,76,2,Unsafe
river,semi-urban,353,25,16,Unsafe
borewell,urban,1154,24,15,Safe
tap,urban,121,40,5,Safe
pond,semi-urban,613,53,13,Unsafe
river,semi-urban,524,6,7,Warning
tap,rural,879,85,9,Warning
tanker,urban,1202,31,8,Warning
well,semi-urban,166,53,14,Warning
tanker,urban,1010,89,2,Unsafe
borewell,urban,1105,57,3,Safe
tap,semi-urban,158,77,14,Warning
river,urban,604,76,12,Unsafe
pond,urban,750,11,20,Unsafe
well,urban,1123,17,16,Warning
borewell,urban,326,18,11,Safe
tanker,rural,327,83,18,Unsafe
river,rural,681,72,15,Unsafe
pond,semi-urban,151,82,1,Unsafe
tap,semi-urban,224,44,3,Safe
borewell,rural,1371,80,11,Warning
tanker,semi-urban,1386,5,11,Warning
tanker,urban,435,67,20,Unsafe
well,urban,1157,36,12,Warning
tanker,urban,1444,25,5,Warning
tap,urban,1442,42,9,Safe
well,rural,333,56,7,Warning
pond,urban,250,63,19,Unsafe
borewell,rural,1306,77,17,Warning
tap,semi-urban,859,14,3,Safe
tap,semi-urban,227,77,6,Safe
borewell,semi-urban,1287,10,12,Safe
tap,urban,1201,86,3,Safe
river,urban,1030,21,6,Warning
tanker,semi-urban,862,57,10,Warning
tanker,semi-urban,784,38,3,Warning
tanker,urban,1394,41,5,Warning
river,semi-urban,1311,60,17,Unsafe
well,semi-urban,981,29,16,Warning
borewell,rural,107,42,6,Safe
tanker,rural,337,94,19,Unsafe
river,rural,1238,53,3,Warning
tap,rural,1191,3,12,Safe
well,semi-urban,419,3,14,Warning
pond,semi-urban,1289,82,19,Unsafe
tanker,semi-urban,1253,26,17,Warning
borewell,semi-urban,1323,74,6,Safe
borewell,urban,610,67,19,Warning
tap,semi-urban,1470,68,7,Safe
river,semi-urban,622,56,7,Unsafe
borewell,semi-urban,205,16,6,Safe
well,semi-urban,1094,5,3,Safe
tap,urban,1252,16,7,Safe
river,urban,891,4,2,Warning
tanker,semi-urban,323,77,10,Unsafe
pond,rural,798,19,10,Warning
tap,urban,1333,67,3,Safe
pond,rural,1078,17,20,Unsafe
pond,semi-urban,475,50,19,Unsafe
borewell,urban,740,63,9,Safe
borewell,rural,1121,16,16,Safe
tanker,urban,663,15,1,Warning
tap,rural,872,6,4,Safe
tanker,semi-urban,374,72,3,Warning
pond,semi-urban,661,25,3,Warning
tap,semi-urban,1277,16,4,Safe
tap,urban,536,58,2,Safe
tanker,urban,1029,96,12,Unsafe
tanker,rural,1349,24,6,Warning
tap,urban,808,70,14,Warning
pond,urban,203,99,13,Unsafe
river,urban,1454,97,4,Unsafe
tap,urban,988,38,2,Safe
pond,semi-urban,1333,15,4,Warning
well,rural,927,32,10,Warning
pond,semi-urban,120,61,18,Unsafe
well,urban,1284,11,4,Warning
river,semi-urban,767,23,11,Warning
borewell,urban,205,0,16,Safe
tanker,urban,231,99,4,Unsafe
borewell,rural,1250,31,3,Safe
tap,semi-urban,461,59,10,Safe
tap,urban,1445,40,1,Safe
well,semi-urban,958,83,13,Unsafe
tap,semi-urban,889,24,2,Safe
river,rural,636,44,6,Warning
tap,urban,392,33,18,Safe
tap,semi-urban,995,47,6,Safe
tanker,rural,1412,76,18,Unsafe
river,rural,216,93,17,Unsafe
borewell,semi-urban,684,70,11,Warning
borewell,urban,899,93,10,Warning
well,urban,718,75,11,Warning
well,urban,955,25,7,Warning
borewell,urban,697,81,12,Warning
pond,rural,1374,41,12,Unsafe
well,semi-urban,1356,66,6,Warning
borewell,semi-urban,487,73,17,Warning
river,semi-urban,175,78,16,Unsafe
borewell,rural,266,63,14,Warning
river,semi-urban,1041,33,14,Unsafe
borewell,urban,734,61,10,Safe
tap,rural,315,99,6,Warning
pond,urban,825,34,19,Unsafe
river,rural,1276,34,8,Warning
well,urban,486,73,8,Warning
river,rural,991,76,4,Unsafe
pond,rural,497,94,2,Unsafe
pond,urban,1037,94,9,Unsafe
borewell,urban,693,92,9,Warning
tanker,urban,1437,72,7,Unsafe
river,rural,125,61,15,Unsafe
borewell,semi-urban,1117,45,20,Warning
tap,semi-urban,542,53,3,Safe
well,urban,767,39,18,Warning
river,semi-urban,149,22,1,Warning
well,semi-urban,805,93,15,Unsafe
borewell,rural,811,45,2,Safe
borewell,rural,270,3,8,Safe
borewell,urban,188,32,20,Safe
river,rural,642,37,3,Warning
river,semi-urban,1158,42,8,Warning
river,semi-urban,897,61,17,Unsafe
tap,rural,1439,34,12,Safe
borewell,urban,1171,30,14,Safe
river,semi-urban,1437,46,4,Warning
tap,urban,691,67,10,Safe
tanker,urban,119,56,17,Unsafe
tanker,rural,1272,84,7,Unsafe
pond,semi-urban,908,96,10,Unsafe
pond,rural,1313,61,3,Unsafe
tanker,rural,892,78,16,Unsafe
tanker,urban,1303,80,8,Unsafe
tap,rural,827,91,3,Safe
river,semi-urban,1142,47,5,Warning
well,urban,1175,74,19,Unsafe
tanker,semi-urban,934,44,2,Warning
river,urban,1160,63,7,Unsafe
river,semi-urban,372,30,1,Warning
river,urban,151,33,17,Unsafe
pond,rural,1250,40,13,Unsafe
tanker,rural,876,4,10,Warning
river,urban,1312,1,9,Warning
pond,semi-urban,134,90,16,Unsafe
pond,semi-urban,929,85,20,Unsafe
pond,urban,225,13,7,Warning
river,semi-urban,1401,1,11,Warning
tanker,urban,502,46,8,Warning
borewell,semi-urban,344,20,17,Safe
tap,urban,1102,82,6,Safe
well,urban,1420,23,19,Warning
well,rural,371,80,14,Unsafe
river,rural,100,28,7,Warning
tanker,urban,296,28,2,Warning
river,rural,909,78,2,Unsafe
pond,urban,1356,66,8,Unsafe
